Date,Open,High,Low,Close,TickVolume,EMA12,EMA26,SMA20,SMA200,MidPrice,TypicalPrice,Range,Trend,Return,R_CloToClo,Diff-20,Diff-200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,ZScore_20,Stoch_%K,Stoch_%D,Volatility_20,TrueRange,ATR,Momentum_10,ROC_10,DayOfWeek,DayOfMonth,Month
2012-01-03,12221.0,12479.0,12221.0,12397.0,34074,12175.33,12054.82,12097.3,11949.23,12350.0,12365.666666666666,258.0,176.0,0.0144014401440144,,123.70000000000073,271.77000000000044,,0.0,0.0,0.0,,,,,,,,258.0,,,,1,3,1
2012-01-04,12392.0,12430.0,12337.0,12418.0,15955,12212.66,12081.72,12113.3,11951.14,12383.5,12395.0,93.0,26.0,0.0020981278244028407,0.0016939582156973998,278.7000000000007,440.8600000000006,,1.6752136752129445,0.3350427350425889,1.3401709401703557,,,,,,,,93.0,,,,2,4,1
2012-01-05,12418.0,12436.0,12283.0,12415.0,30145,12243.79,12106.41,12126.55,11953.12,12359.5,12378.0,153.0,-3.0,-0.00024158479626348848,-0.00024158479626346097,291.4500000000007,464.8799999999992,,2.72929602844124,0.8138933937223192,1.915402634718921,,,,,,,,153.0,,,,3,5,1
2012-01-06,12407.0,12415.0,12332.0,12359.0,11814,12261.52,12125.12,12134.7,11954.49,12373.5,12368.666666666666,83.0,-48.0,-0.0038687837511082452,-0.0045106725734997966,272.2999999999993,452.5100000000002,,-0.9431955298950925,0.46247560899883683,-1.4056711388939294,,,,,,,,83.0,,,,4,6,1
2012-01-09,12359.0,12409.0,12334.0,12392.0,11709,12281.59,12144.89,12154.4,11955.59,12371.5,12378.333333333334,75.0,33.0,0.0026701189416619467,0.0026701189416620252,204.60000000000036,403.40999999999985,,-1.1772764313845983,0.13452520092214984,-1.311801632306748,,,,,,,,75.0,,,,0,9,1
2012-01-10,12395.0,12515.0,12395.0,12463.0,17241,12309.5,12168.45,12168.35,11956.8,12455.0,12457.666666666666,120.0,68.0,0.005486083098023397,0.005729502905100103,226.64999999999964,438.2000000000007,,4.316560770368596,0.9709323148114392,3.3456284555571574,,,,,,,,123.0,,,,1,10,1
2012-01-11,12460.0,12463.0,12399.0,12450.0,11708,12331.11,12189.31,12189.8,11958.06,12431.0,12437.333333333334,64.0,-10.0,-0.0008025682182985554,-0.0010430875391157501,270.2000000000007,501.9400000000005,,7.534620563532371,2.2836699645556258,5.250950598976745,,,,,,,,64.0,,,,2,11,1
2012-01-12,12450.0,12484.0,12385.0,12471.0,17614,12352.64,12210.17,12215.6,11959.02,12434.5,12446.666666666666,99.0,21.0,0.0016867469879518072,0.0016867469879517927,234.39999999999964,490.97999999999956,,11.645241534661182,4.155984278576737,7.489257256084445,,,,,,,,99.0,,,,3,12,1
2012-01-13,12470.0,12470.0,12312.0,12422.0,26877,12363.31,12225.87,12245.5,11959.38,12391.0,12401.333333333334,158.0,-48.0,-0.0038492381716118684,-0.003929115548071516,224.5,510.6200000000008,,10.82427230651956,5.489641884165302,5.334630422354259,,,,,,,,159.0,,,,4,13,1
2012-01-17,12423.0,12574.0,12423.0,12482.0,24212,12381.57,12244.84,12276.15,11960.19,12498.5,12493.0,151.0,59.0,0.004749255413346212,0.004830140074062239,146.85000000000036,462.8099999999995,,14.84403405305602,7.360520317943445,7.483513735112576,,,,,,,,152.0,,,,1,17,1
2012-01-18,12475.0,12583.0,12454.0,12579.0,15391,12411.94,12269.59,12311.8,11961.2,12518.5,12538.666666666666,129.0,104.0,0.008336673346693387,0.00777119051434072,163.20000000000073,513.7999999999993,,25.562148993471055,11.000846053048967,14.561302940422088,,,,,,,,129.0,,182.0,0.014680971202710334,2,18,1
2012-01-19,12578.0,12626.0,12563.0,12624.0,7866,12444.57,12295.84,12354.65,11962.32,12594.5,12604.333333333334,63.0,46.0,0.003657179201780887,0.0035773908895777584,223.35000000000036,615.6800000000003,,37.257969542301,16.252270750899374,21.005698791401624,,,,,,,,63.0,,206.0,0.016588822676759544,3,19,1
2012-01-20,12624.0,12721.0,12621.0,12721.0,10280,12487.09,12327.34,12385.55,11963.95,12671.0,12687.666666666666,100.0,97.0,0.007683776932826363,0.007683776932826403,238.45000000000073,660.0499999999993,,53.73466120258672,23.748748841236846,29.985912361349875,,,,,,,,100.0,,306.0,0.02464760370519533,4,20,1
2012-01-23,12720.0,12764.0,12666.0,12709.0,18590,12521.23,12355.61,12415.65,11965.36,12715.0,12713.0,98.0,-11.0,-0.0008647798742138365,-0.0009433220658753294,304.35000000000036,754.6399999999994,,65.07412434152684,32.013823941294845,33.060300400231995,,,,,89.87108655616943,,,98.0,117.78571428571429,350.0,0.02831944332065701,0,23,1
2012-01-24,12708.0,12708.0,12613.0,12675.0,15735,12544.89,12379.27,12440.9,11966.69,12660.5,12665.333333333334,95.0,-33.0,-0.0025967894239848914,-0.0026752694940592736,267.10000000000036,741.3099999999995,72.7124183006536,70.50448293366935,39.71195573976975,30.792527193899602,,,,,81.4968814968815,,,96.0,106.21428571428571,283.0,0.022837314396384763,1,24,1
2012-01-25,12674.0,12779.0,12580.0,12757.0,31296,12577.52,12407.25,12464.05,11968.58,12679.5,12705.333333333334,199.0,83.0,0.006548840145179107,0.006469428007889633,209.95000000000073,705.4200000000001,75.18573551263002,80.49687803653069,47.86894019912194,32.62793783740875,,,,,95.56451612903226,88.97749472736105,,199.0,113.78571428571429,294.0,0.02358982588461847,2,25,1
2012-01-26,12757.0,12842.0,12695.0,12734.0,27089,12601.6,12431.45,12486.2,11970.34,12768.5,12757.0,147.0,-23.0,-0.0018029317237595046,-0.00180293172375956,270.7999999999993,786.6599999999999,73.01587301587301,85.5735764443416,55.40986744816587,30.16370899617573,,,,,79.62264150943396,85.56134637844924,,147.0,113.35714285714286,284.0,0.022811244979919678,3,26,1
2012-01-27,12734.0,12734.0,12631.0,12661.0,13298,12610.73,12448.45,12511.65,11972.33,12682.5,12675.333333333334,103.0,-73.0,-0.005732684152662164,-0.005732684152662149,222.35000000000036,761.6700000000001,71.26760563380282,82.75248743115117,60.87839144476293,21.874095986388234,,,,,65.84905660377358,80.34540474741327,,103.0,114.78571428571429,190.0,0.015235346002726325,4,27,1
2012-01-30,12659.0,12659.0,12529.0,12654.0,25438,12617.39,12463.68,12530.0,11974.25,12594.0,12614.0,130.0,-5.0,-0.00039497590646970533,-0.0005528789195166084,129.0,684.75,69.15204678362574,79.04077965806755,64.51086908742386,14.529910570643693,,,,,64.52830188679245,70.0,,132.0,118.85714285714286,232.0,0.01867654161970697,0,30,1
2012-01-31,12655.0,12720.0,12568.0,12633.0,28368,12619.79,12476.22,12550.8,11975.99,12644.0,12640.333333333334,152.0,-22.0,-0.0017384433030422758,-0.0016595542911332917,104.20000000000073,679.0100000000002,63.406940063091476,73.5567832015713,66.32005191025335,7.236731291317952,12821.667300973819,12279.93269902618,541.734601947639,0.6069392629119564,60.56603773584905,63.647798742138356,135.43365048691007,152.0,120.92857142857143,151.0,0.012097420285210703,1,31,1
